quarters,name,region,number,min_salary,max_salary,avg_min_salary,avg_max_salary
1,Оператор автоматизированного процесса производства алюминия,Иркутская область,2,30000,45000,,
1,Оператор автоматизированного процесса производства алюминия,Самарская область,2,22000,22000,,
1,Оператор автоматизированного процесса производства алюминия,Красноярский край,6,50000,50000,,
1,Анодчик в производстве алюминия,Челябинская область,9,21000,25000,,
1,Анодчик в производстве алюминия,Московская область,9,25000,57000,,
1,Анодчик в производстве алюминия,Пермский край,1,20000,20000,,
1,Анодчик в производстве алюминия,Волгоградская область,2,24000,24000,,
1,Анодчик в производстве алюминия,г. Санкт-Петербург,1,28000,42000,,
1,Инженер-технолог в металлургическом производстве,Республика Саха (Якутия),100,24560,52500,,
1,Инженер-технолог в металлургическом производстве,Калининградская область,73,12000,60000,,
1,Инженер-технолог в металлургическом производстве,Новосибирская область,128,14000,50000,,
1,Инженер-технолог в металлургическом производстве,Свердловская область,286,12980,70000,,
1,Инженер-технолог в металлургическом производстве,Республика Хакасия,18,17860,40000,,
1,Инженер-технолог в металлургическом производстве,Магаданская область,7,220000,60000,,
1,Инженер-технолог в металлургическом производстве,Удмуртская Республика,54,12837,90000,,
1,Инженер-технолог в металлургическом производстве,г. Севастополь,10,24600,54450,,
1,Инженер-технолог в металлургическом производстве,Камчатский край,23,26791,65000,,
1,Инженер-технолог в металлургическом производстве,Саратовская область,2559,11520,57000,,
1,Инженер-технолог в металлургическом производстве,Республика Башкортостан,161,12837,90000,,
1,Инженер-технолог в металлургическом производстве,Ростовская область,119,11163,40000,,
1,Инженер-технолог в металлургическом производстве,Калужская область,75,12000,82500,,
1,Инженер-технолог в металлургическом производстве,Еврейская автономная область,39,17200,52500,,
1,Инженер-технолог в металлургическом производстве,Карачаево-Черкесская Республика,5,20000,30000,,
1,Инженер-технолог в металлургическом производстве,Республика Дагестан,1,15000,15000,,
1,Инженер-технолог в металлургическом производстве,Ханты-Мансийский автономный округ - Югра,27,28000,75000,,
1,Инженер-технолог в металлургическом производстве,Ямало-Ненецкий автономный округ,22,30000,70000,,
1,Инженер-технолог в металлургическом производстве,Ставропольский край,137,11163,75000,,
1,Инженер-технолог в металлургическом производстве,Псковская область,18,15000,75000,,
1,Инженер-технолог в металлургическом производстве,Рязанская область,46,15000,60000,,
1,Инженер-технолог в металлургическом производстве,Чувашская Республика,41,11280,60000,,
1,Инженер-технолог в металлургическом производстве,Нижегородская область,138,11163,90000,,
1,Инженер-технолог в металлургическом производстве,Воронежская область,88,11280,50040,,
1,Инженер-технолог в металлургическом производстве,Республика Мордовия,19,11300,50550,,
1,Инженер-технолог в металлургическом производстве,Вологодская область,29,17000,39000,,
